window,model,target,is_donut,fixed_train_cutoff,train_start,train_end,forecast_bridge_start,post_start,post_end,excluded_start,excluded_end,n_train,n_forecast_bridge_days,n_scored_days,note,n_days,observed_sum,counterfactual_sum,cumulative_gap_observed_minus_predicted,cumulative_throughput_loss,mean_daily_throughput_loss
donut_clean_post_after_force_majeure,seasonal_naive_7d,hormuz_tanker_transits,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,125,480.0,7332.0,-6852.0,6852.0,54.816
donut_clean_post_after_force_majeure,ar_lag1_7,hormuz_tanker_transits,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,125,480.0,7121.672183724611,-6641.672183724611,6641.672183724611,53.13337746979689
donut_clean_post_after_force_majeure,arx_lag1_7_route,hormuz_tanker_transits,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,125,480.0,7301.9882354203655,-6821.9882354203655,6821.9882354203655,54.57590588336292
donut_clean_post_after_force_majeure,arx_lag1_7_route_energy,hormuz_tanker_transits,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,125,480.0,8426.27846089435,-7946.278460894347,7946.278460894347,63.57022768715477
donut_clean_post_after_force_majeure,seasonal_naive_7d,hormuz_tanker_capacity,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,113,24496200.0,287554481.0,-263058281.0,263058281.0,2327949.389380531
donut_clean_post_after_force_majeure,ar_lag1_7,hormuz_tanker_capacity,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,113,24496200.0,305407868.85761744,-280911668.85761744,280911668.85761744,2485943.972191305
donut_clean_post_after_force_majeure,arx_lag1_7_route,hormuz_tanker_capacity,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,113,24496200.0,308403951.9157015,-283907751.91570157,283907751.91570157,2512457.981554881
donut_clean_post_after_force_majeure,arx_lag1_7_route_energy,hormuz_tanker_capacity,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-03-05,2026-07-07,2026-02-28,2026-03-04,1519,130,125,Donut sensitivity: train before operational onset and exclude the transition through QatarEnergy's force-majeure declaration.,113,24496200.0,361917390.9419811,-337421190.9419811,337421190.9419811,2986028.2384246113
anchored_kinetic_trigger,seasonal_naive_7d,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,130,529.0,7653.0,-7124.0,7124.0,54.8
anchored_kinetic_trigger,ar_lag1_7,hormuz_tanker_transits,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-02-28,2026-07-07,,,1519,130,130,Sensitivity window; training cutoff remains fixed before the disruption.,130,529.0,7397.996006081119,-6868.996006081119,6868.996006081119,52.83843081600861
