date,model,target,fold,y_true,y_pred,error
2023-01-01,seasonal_naive_7d,hormuz_tanker_transits,fold_01,50.0,58.0,-8.0
2023-01-02,seasonal_naive_7d,hormuz_tanker_transits,fold_01,55.0,59.0,-4.0
2023-01-03,seasonal_naive_7d,hormuz_tanker_transits,fold_01,58.0,54.0,4.0
2023-01-04,seasonal_naive_7d,hormuz_tanker_transits,fold_01,57.0,55.0,2.0
2023-01-05,seasonal_naive_7d,hormuz_tanker_transits,fold_01,55.0,43.0,12.0
2023-01-06,seasonal_naive_7d,hormuz_tanker_transits,fold_01,45.0,59.0,-14.0
2023-01-07,seasonal_naive_7d,hormuz_tanker_transits,fold_01,58.0,61.0,-3.0
2023-01-08,seasonal_naive_7d,hormuz_tanker_transits,fold_01,51.0,58.0,-7.0
2023-01-09,seasonal_naive_7d,hormuz_tanker_transits,fold_01,61.0,59.0,2.0
2023-01-10,seasonal_naive_7d,hormuz_tanker_transits,fold_01,58.0,54.0,4.0
2023-01-11,seasonal_naive_7d,hormuz_tanker_transits,fold_01,36.0,55.0,-19.0
2023-01-12,seasonal_naive_7d,hormuz_tanker_transits,fold_01,46.0,43.0,3.0
2023-01-13,seasonal_naive_7d,hormuz_tanker_transits,fold_01,40.0,59.0,-19.0
2023-01-14,seasonal_naive_7d,hormuz_tanker_transits,fold_01,56.0,61.0,-5.0
2023-01-15,seasonal_naive_7d,hormuz_tanker_transits,fold_01,40.0,58.0,-18.0
2023-01-16,seasonal_naive_7d,hormuz_tanker_transits,fold_01,50.0,59.0,-9.0
2023-01-17,seasonal_naive_7d,hormuz_tanker_transits,fold_01,57.0,54.0,3.0
2023-01-18,seasonal_naive_7d,hormuz_tanker_transits,fold_01,60.0,55.0,5.0
2023-01-19,seasonal_naive_7d,hormuz_tanker_transits,fold_01,51.0,43.0,8.0
2023-01-20,seasonal_naive_7d,hormuz_tanker_transits,fold_01,58.0,59.0,-1.0
2023-01-21,seasonal_naive_7d,hormuz_tanker_transits,fold_01,55.0,61.0,-6.0
2023-01-22,seasonal_naive_7d,hormuz_tanker_transits,fold_01,61.0,58.0,3.0
2023-01-23,seasonal_naive_7d,hormuz_tanker_transits,fold_01,57.0,59.0,-2.0
2023-01-24,seasonal_naive_7d,hormuz_tanker_transits,fold_01,53.0,54.0,-1.0
2023-01-25,seasonal_naive_7d,hormuz_tanker_transits,fold_01,72.0,55.0,17.0
2023-01-26,seasonal_naive_7d,hormuz_tanker_transits,fold_01,51.0,43.0,8.0
2023-01-27,seasonal_naive_7d,hormuz_tanker_transits,fold_01,53.0,59.0,-6.0
2023-01-28,seasonal_naive_7d,hormuz_tanker_transits,fold_01,61.0,61.0,0.0
2023-01-29,seasonal_naive_7d,hormuz_tanker_transits,fold_01,56.0,58.0,-2.0
2023-01-30,seasonal_naive_7d,hormuz_tanker_transits,fold_01,56.0,59.0,-3.0
2023-01-31,seasonal_naive_7d,hormuz_tanker_transits,fold_02,63.0,53.0,10.0
2023-02-01,seasonal_naive_7d,hormuz_tanker_transits,fold_02,55.0,72.0,-17.0
2023-02-02,seasonal_naive_7d,hormuz_tanker_transits,fold_02,59.0,51.0,8.0
2023-02-03,seasonal_naive_7d,hormuz_tanker_transits,fold_02,64.0,53.0,11.0
2023-02-04,seasonal_naive_7d,hormuz_tanker_transits,fold_02,67.0,61.0,6.0
2023-02-05,seasonal_naive_7d,hormuz_tanker_transits,fold_02,42.0,56.0,-14.0
2023-02-06,seasonal_naive_7d,hormuz_tanker_transits,fold_02,60.0,56.0,4.0
2023-02-07,seasonal_naive_7d,hormuz_tanker_transits,fold_02,61.0,53.0,8.0
2023-02-08,seasonal_naive_7d,hormuz_tanker_transits,fold_02,66.0,72.0,-6.0
2023-02-09,seasonal_naive_7d,hormuz_tanker_transits,fold_02,48.0,51.0,-3.0
2023-02-10,seasonal_naive_7d,hormuz_tanker_transits,fold_02,42.0,53.0,-11.0
2023-02-11,seasonal_naive_7d,hormuz_tanker_transits,fold_02,53.0,61.0,-8.0
2023-02-12,seasonal_naive_7d,hormuz_tanker_transits,fold_02,63.0,56.0,7.0
2023-02-13,seasonal_naive_7d,hormuz_tanker_transits,fold_02,63.0,56.0,7.0
2023-02-14,seasonal_naive_7d,hormuz_tanker_transits,fold_02,56.0,53.0,3.0
2023-02-15,seasonal_naive_7d,hormuz_tanker_transits,fold_02,46.0,72.0,-26.0
